Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 16, SS(k)=5.411526e+08, p1=91.79, p2=54.71 & p3 73.25 
Clusters 3, Iteration break 10, SS(k)=4.832260e+08, p1=81.75, p2=82.85 & p3 82.30 
Clusters 4, Iteration break 20, SS(k)=4.652766e+08, p1=67.10, p2=86.62 & p3 76.86 
Clusters 5, Iteration break 20, SS(k)=4.412406e+08, p1=59.47, p2=91.98 & p3 75.73 
Clusters 6, Iteration break 20, SS(k)=4.238980e+08, p1=43.41, p2=92.28 & p3 67.84 
Clusters 7, Iteration break 20, SS(k)=4.192872e+08, p1=50.93, p2=95.35 & p3 73.14 
Clusters 8, Iteration break 20, SS(k)=4.014198e+08, p1=41.74, p2=96.08 & p3 68.91 
Clusters 9, Iteration break 19, SS(k)=3.913175e+08, p1=36.06, p2=96.31 & p3 66.18 
Clusters 10, Iteration break 19, SS(k)=3.838525e+08, p1=30.99, p2=95.97 & p3 63.48 
Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 7, SS(k)=5.411508e+08, p1=91.90, p2=54.13 & p3 73.02 
Clusters 3, Iteration break 7, SS(k)=4.832105e+08, p1=81.59, p2=82.87 & p3 82.23 
Clusters 4, Iteration break 6, SS(k)=4.639379e+08, p1=72.75, p2=90.05 & p3 81.40 
Clusters 5, Iteration break 20, SS(k)=4.505118e+08, p1=71.60, p2=93.08 & p3 82.34 
Clusters 6, Iteration break 20, SS(k)=4.233379e+08, p1=43.84, p2=92.33 & p3 68.08 
Clusters 7, Iteration break 16, SS(k)=4.090503e+08, p1=44.21, p2=95.43 & p3 69.82 
Clusters 8, Iteration break 20, SS(k)=4.031217e+08, p1=36.74, p2=94.50 & p3 65.62 
Clusters 9, Iteration break 20, SS(k)=3.925952e+08, p1=36.72, p2=95.65 & p3 66.18 
Clusters 10, Iteration break 17, SS(k)=3.900560e+08, p1=35.83, p2=97.12 & p3 66.48 
Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 13, SS(k)=5.411526e+08, p1=91.79, p2=54.71 & p3 73.25 
Clusters 3, Iteration break 11, SS(k)=4.832069e+08, p1=81.57, p2=82.88 & p3 82.22 
Clusters 4, Iteration break 20, SS(k)=4.612973e+08, p1=67.53, p2=87.22 & p3 77.37 
Clusters 5, Iteration break 20, SS(k)=4.421452e+08, p1=57.27, p2=91.28 & p3 74.28 
Clusters 6, Iteration break 20, SS(k)=4.365482e+08, p1=51.62, p2=92.02 & p3 71.82 
Clusters 7, Iteration break 20, SS(k)=4.155425e+08, p1=38.16, p2=92.22 & p3 65.19 
Clusters 8, Iteration break 9, SS(k)=4.111498e+08, p1=49.33, p2=96.44 & p3 72.88 
Clusters 9, Iteration break 12, SS(k)=3.922444e+08, p1=35.04, p2=96.28 & p3 65.66 
Clusters 10, Iteration break 10, SS(k)=3.832077e+08, p1=35.05, p2=97.29 & p3 66.17 
Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 9, SS(k)=5.411526e+08, p1=91.79, p2=54.71 & p3 73.25 
Clusters 3, Iteration break 17, SS(k)=4.832618e+08, p1=82.58, p2=83.38 & p3 82.98 
Clusters 4, Iteration break 20, SS(k)=4.613927e+08, p1=65.81, p2=86.79 & p3 76.30 
Clusters 5, Iteration break 20, SS(k)=4.498094e+08, p1=59.24, p2=90.78 & p3 75.01 
